time,ph_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-17 16:31:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:36:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:37:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:41:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:42:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:43:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:47:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:48:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:49:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:53:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:54:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:55:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:00:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:01:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:05:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:07:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:08:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:09:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:10:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:12:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:14:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:19:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:20:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:24:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:25:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:29:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:30:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:31:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:35:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:37:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:41:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:42:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:43:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:48:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:49:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:50:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:54:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 17:55:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:00:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:01:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:06:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:07:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:12:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:13:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:17:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:18:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:22:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:23:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:27:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:28:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:29:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:33:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:34:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:35:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:38:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:39:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:40:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:44:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:45:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:49:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:50:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:51:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:55:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:56:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 18:57:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:01:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:02:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:06:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:07:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:08:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:12:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:13:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:17:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:18:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:19:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:23:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:24:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:25:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 19:29:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
